Code;Company;Link;"""Market Cap""";"""Last trade""";Change;%Change;Sector;ZW1;ZW2;Ticker JSE;Ticker;Ticker Yahoo
JSE:CLI;"""Clientele Limited (JSE:CLI)""";https://www.listcorp.com/jse/cli/clientele-limited;"""	5221570000""";12;0,48;4,17;Financials;"(JSE:CLI)""";(JSE:CLI;JSE:CLI;CLI;CLI.JO
JSE:CMH;"""Combined Motor Holdings Limited (JSE:CMH)""";https://www.listcorp.com/jse/cmh/combined-motor-holdings-limited;"""	2386180000""";31,5;-0,4;-1,25;"""Consumer Services""";"(JSE:CMH)""";(JSE:CMH;JSE:CMH;CMH;CMH.JO
JSE:CFR;"""Compagnie Fin Richemont (JSE:CFR)""";https://www.listcorp.com/jse/cfr/compagnie-fin-richemont;"""	1752890000000""";3265,06;4,24;0,13;"""Consumer Goods""";"(JSE:CFR)""";(JSE:CFR;JSE:CFR;CFR;CFR.JO
JSE:CND;"""Conduit Capital Limited (JSE:CND)""";https://www.listcorp.com/jse/cnd/conduit-capital-limited;"""	30577800""";0,04;0;0;Financials;"(JSE:CND)""";(JSE:CND;JSE:CND;CND;CND.JO
JSE:CML;"""Coronation Fund Managers (JSE:CML)""";https://www.listcorp.com/jse/cml/coronation-fund-managers;"""	14394600000""";38,2;1,02;2,74;Financials;"(JSE:CML)""";(JSE:CML;JSE:CML;CML;CML.JO
JSE:CKS;"""Crookes Brothers Limited (JSE:CKS)""";https://www.listcorp.com/jse/cks/crookes-brothers-limited;"""	419769000""";30;2,5;9,09;"""Consumer Goods""";"(JSE:CKS)""";(JSE:CKS;JSE:CKS;CKS;CKS.JO
JSE:COH;"""Curro Holdings Limited (JSE:COH)""";https://www.listcorp.com/jse/coh/curro-holdings-limited;"""	4976910000""";8,82;0,05;0,57;"""Consumer Services""";"(JSE:COH)""";(JSE:COH;JSE:COH;COH;COH.JO
JSE:DTC;"""Datatec Limited (JSE:DTC)""";https://www.listcorp.com/jse/dtc/datatec-limited;"""	15231600000""";64,64;0,15;0,23;Technology;"(JSE:DTC)""";(JSE:DTC;JSE:DTC;DTC;DTC.JO
JSE:DLT;"""Delta Property Fund Limited (JSE:DLT)""";https://www.listcorp.com/jse/dlt/delta-property-fund-limited;"""	135705000""";0,19;0;0;Financials;"(JSE:DLT)""";(JSE:DLT;JSE:DLT;DLT;DLT.JO
JSE:DNB;"""Deneb Investments Limited (JSE:DNB)""";https://www.listcorp.com/jse/dnb/deneb-investments-limited;"""	839567000""";1,9;0;0;Financials;"(JSE:DNB)""";(JSE:DNB;JSE:DNB;DNB;DNB.JO
JSE:DKR;"""Deutsche Konsum REIT-AG (JSE:DKR)""";https://www.listcorp.com/jse/dkr/deutsche-konsum-reit;"""	7854770000""";156;0;0;Financials;"(JSE:DKR)""";(JSE:DKR;JSE:DKR;DKR;DKR.JO
JSE:DIB;"""Dipula Income Fund Limited B (JSE:DIB)""";https://www.listcorp.com/jse/dib/dipula-income-fund-limited-b;"""	4980170000""";5,47;0;0;Financials;"(JSE:DIB)""";(JSE:DIB;JSE:DIB;DIB;DIB.JO
JSE:DCP;"""Dis-Chem Pharmacies Limited (JSE:DCP)""";https://www.listcorp.com/jse/dcp/dis-chem-pharmacies-limited;"""	26946400000""";31,47;0,14;0,45;"""Consumer Services""";"(JSE:DCP)""";(JSE:DCP;JSE:DCP;DCP;DCP.JO
JSE:DSY;"""Discovery Limited (JSE:DSY)""";https://www.listcorp.com/jse/dsy/discovery-limited;"""	145900000000""";215,45;0,79;0,37;Financials;"(JSE:DSY)""";(JSE:DSY;JSE:DSY;DSY;DSY.JO
JSE:DRD;"""DRDGOLD Limited (JSE:DRD)""";https://www.listcorp.com/jse/drd/drdgold-limited;"""	22392800000""";25,38;-0,52;-2,01;"""Basic Materials""";"(JSE:DRD)""";(JSE:DRD;JSE:DRD;DRD;DRD.JO
JSE:EMN;"""E Media Holdings Limited - N Shares (JSE:EMN)""";https://www.listcorp.com/jse/emn/e-media-holdings-limited-n;"""	1050300000""";2,75;0;0;"""Consumer Services""";"(JSE:EMN)""";(JSE:EMN;JSE:EMN;EMN;EMN.JO
JSE:EMH;"""E Media Holdings Limited (JSE:EMH)""";https://www.listcorp.com/jse/emh/e-media-holdings-limited;"""	183774000""";2,88;0;0;"""Consumer Services""";"(JSE:EMH)""";(JSE:EMH;JSE:EMH;EMH;EMH.JO
JSE:EPS;"""Eastern Platinum Limited (JSE:EPS)""";https://www.listcorp.com/jse/eps/eastern-platinum;"""	242990000""";1,2;0;0;"""Basic Materials""";"(JSE:EPS)""";(JSE:EPS;JSE:EPS;EPS;EPS.JO
JSE:EEL;"""Efora Energy Limited (JSE:EEL)""";https://www.listcorp.com/jse/eel/efora-energy-limited;"""	33115000""";0,03;0;0;"""Oil & Gas""";"(JSE:EEL)""";(JSE:EEL;JSE:EEL;EEL;EEL.JO
JSE:ELI;"""Ellies Holdings Limited (JSE:ELI)""";https://www.listcorp.com/jse/eli/ellies-holdings-limited;"""	8054000""";0,01;0;0;Industrials;"(JSE:ELI)""";(JSE:ELI;JSE:ELI;ELI;ELI.JO
JSE:EMI;"""Emira Property Fund Limited (JSE:EMI)""";https://www.listcorp.com/jse/emi/emira-property-fund-limited;"""	5312030000""";10,38;0,05;0,48;Financials;"(JSE:EMI)""";(JSE:EMI;JSE:EMI;EMI;EMI.JO
JSE:ENX;"""enX Group Limited (JSE:ENX)""";https://www.listcorp.com/jse/enx/enx-group-limited;"""	891509000""";4,89;0;0;Industrials;"(JSE:ENX)""";(JSE:ENX;JSE:ENX;ENX;ENX.JO
