,Ticker,Name,Währung,Börse,Sektor,Branche
261,COTY,Coty Inc.,USD,NYQ,Consumer Defensive,Household & Personal Products
262,COV,N/A,N/A,YHD,N/A,N/A
263,CPAY,"Corpay, Inc.",USD,NYQ,Technology,Software - Infrastructure
264,CPB,The Campbell's Company,USD,NMS,Consumer Defensive,Packaged Foods
265,CPGX,N/A,N/A,YHD,N/A,N/A
266,CPNLQ,N/A,N/A,N/A,N/A,N/A
267,CPQ,N/A,N/A,YHD,N/A,N/A
268,CPRI,Capri Holdings Limited,USD,NYQ,Consumer Cyclical,Luxury Goods
269,CPRT,"Copart, Inc.",USD,NMS,Industrials,Specialty Business Services
270,CPT,Camden Property Trust,USD,NYQ,Real Estate,REIT - Residential
271,CPWR,Ocean Thermal Energy Corporation,USD,OEM,Utilities,Utilities - Renewable
272,CR,Crane Company,USD,NYQ,Industrials,Specialty Industrial Machinery
273,CRL,"Charles River Laboratories International, Inc.",USD,NYQ,Healthcare,Diagnostics & Research
274,CRM,"Salesforce, Inc.",USD,NYQ,Technology,Software - Application
275,CRR,N/A,N/A,N/A,N/A,N/A
276,CRWD,"CrowdStrike Holdings, Inc.",USD,NMS,Technology,Software - Infrastructure
277,CSCO,"Cisco Systems, Inc.",USD,NMS,Technology,Communication Equipment
278,CSE,N/A,N/A,YHD,N/A,N/A
279,CSGP,"CoStar Group, Inc.",USD,NMS,Real Estate,Real Estate Services
280,CSR,Centerspace,USD,NYQ,Real Estate,REIT - Residential
281,CSRA,N/A,N/A,YHD,N/A,N/A
282,CSX,CSX Corporation,USD,NMS,Industrials,Railroads
283,CTAS,Cintas Corporation,USD,NMS,Industrials,Specialty Business Services
284,CTB,N/A,N/A,N/A,N/A,N/A
285,CTL,N/A,N/A,N/A,N/A,N/A
286,CTLT,N/A,N/A,N/A,N/A,N/A
287,CTRA,Coterra Energy Inc.,USD,NYQ,Energy,Oil & Gas E&P
288,CTSH,Cognizant Technology Solutions Corporation,USD,NMS,Technology,Information Technology Services
289,CTVA,"Corteva, Inc.",USD,NYQ,Basic Materials,Agricultural Inputs
290,CTX,N/A,N/A,YHD,N/A,N/A
291,CTXS,N/A,N/A,N/A,N/A,N/A
292,CVC,N/A,N/A,YHD,N/A,N/A
293,CVG,Convergys Corporation,N/A,YHD,N/A,N/A
294,CVH,N/A,N/A,YHD,N/A,N/A
295,CVS,CVS Health Corporation,USD,NYQ,Healthcare,Healthcare Plans
296,CVX,Chevron Corporation,USD,NYQ,Energy,Oil & Gas Integrated
297,CXO,N/A,N/A,N/A,N/A,N/A
298,CYM,N/A,N/A,YHD,N/A,N/A
299,CYR,N/A,N/A,YHD,N/A,N/A
300,CZR,"Caesars Entertainment, Inc.",USD,NMS,Consumer Cyclical,Resorts & Casinos
301,D,"Dominion Energy, Inc.",USD,NYQ,Utilities,Utilities - Regulated Electric
302,DAL,"Delta Air Lines, Inc.",USD,NYQ,Industrials,Airlines
303,DALRQ,N/A,N/A,N/A,N/A,N/A
304,DAY,Dayforce Inc,USD,NYQ,Technology,Software - Application
305,DCNAQ,N/A,N/A,N/A,N/A,N/A
306,DD,"DuPont de Nemours, Inc.",USD,NYQ,Basic Materials,Specialty Chemicals
307,DDR,DDR Corp.,N/A,YHD,N/A,N/A
308,DDS,"Dillard's, Inc.",USD,NYQ,Consumer Cyclical,Department Stores
309,DE,Deere & Company,USD,NYQ,Industrials,Farm & Heavy Construction Machinery
310,DEC,Diversified Energy Company PLC,USD,NYQ,Energy,Oil & Gas Integrated
311,DECK,Deckers Outdoor Corporation,USD,NYQ,Consumer Cyclical,Footwear & Accessories
312,DELL,Dell Technologies Inc.,USD,NYQ,Technology,Computer Hardware
313,DF,N/A,N/A,N/A,N/A,N/A
314,DFS,N/A,N/A,N/A,N/A,N/A
315,DG,Dollar General Corporation,USD,NYQ,Consumer Defensive,Discount Stores
316,DGN,N/A,N/A,YHD,N/A,N/A
