,Ticker,Name,Währung,Börse,Sektor,Branche
322,DDS,"Dillard's, Inc.",USD,NYQ,Consumer Cyclical,Department Stores
323,DE,Deere & Company,USD,NYQ,Industrials,Farm & Heavy Construction Machinery
324,DEC,Diversified Energy Company PLC,USD,NYQ,Energy,Oil & Gas Integrated
325,DECK,Deckers Outdoor Corporation,USD,NYQ,Consumer Cyclical,Footwear & Accessories
326,DELL,Dell Technologies Inc.,USD,NYQ,Technology,Computer Hardware
327,DELL,Dell Technologies Inc.,USD,NYQ,Technology,Computer Hardware
328,DF,N/A,N/A,N/A,N/A,N/A
329,DFS,Discover Financial Services,USD,NYQ,Financial Services,Credit Services
330,DG,Dollar General Corporation,USD,NYQ,Consumer Defensive,Discount Stores
331,DG,Dollar General Corporation,USD,NYQ,Consumer Defensive,Discount Stores
332,DGN,N/A,N/A,YHD,N/A,N/A
333,DGX,Quest Diagnostics Incorporated,USD,NYQ,Healthcare,Diagnostics & Research
334,DHI,"D.R. Horton, Inc.",USD,NYQ,Consumer Cyclical,Residential Construction
335,DHR,Danaher Corporation,USD,NYQ,Healthcare,Diagnostics & Research
336,DI,PIMCO Diversified Income Active ETF,USD,YHD,N/A,N/A
337,DIGI,"digitiliti, Inc.",USD,OEM,Communication Services,Publishing
338,DIS,The Walt Disney Company,USD,NYQ,Communication Services,Entertainment
339,DISCA,N/A,N/A,N/A,N/A,N/A
340,DISCK,N/A,N/A,N/A,N/A,N/A
341,DISH,N/A,N/A,N/A,N/A,N/A
342,DJ,N/A,N/A,YHD,N/A,N/A
343,DLR,"Digital Realty Trust, Inc.",USD,NYQ,Real Estate,REIT - Specialty
344,DLTR,"Dollar Tree, Inc.",USD,NMS,Consumer Defensive,Discount Stores
345,DLX,Deluxe Corporation,USD,NYQ,Industrials,Conglomerates
346,DNB,"Dun & Bradstreet Holdings, Inc.",USD,NYQ,Financial Services,Financial Data & Stock Exchanges
347,DNR,N/A,N/A,N/A,N/A,N/A
348,DO,N/A,N/A,N/A,N/A,N/A
349,DOC,"Healthpeak Properties, Inc.",USD,NYQ,Real Estate,REIT - Healthcare Facilities
